rank,filename,similarity,file
1,07-تذكر-عبلة-تحت-ظلال-السيوف-وحومة-الموت_SONG_A.mp3,0.8777027,/content/SUNO_BACKUP_11082026/antara_13082026/07-تذكر-عبلة-تحت-ظلال-السيوف-وحومة-الموت_SONG_A.mp3
2,03-نسوة-السمينة-ومطلع-سهيل_SONG_C.mp3,0.8775031,/content/SUNO_BACKUP_11082026/malik_ibn_rayb_17082026/03-نسوة-السمينة-ومطلع-سهيل_SONG_C.mp3
3,01-ألم-الوجود-وعزة-النفس_SONG_C.mp3,0.8771838,/content/SUNO_BACKUP_11082026/almutanabi_kafa_bika_21082026/01-ألم-الوجود-وعزة-النفس_SONG_C.mp3
4,02-استيقاف-الظعينة-ومفاتن-ليلى-ولوعة-الفراق_SONG_A.mp3,0.8766527,/content/SUNO_BACKUP_11082026/amro_bin_kalthoum_20082026/02-استيقاف-الظعينة-ومفاتن-ليلى-ولوعة-الفراق_SONG_A.mp3
5,03-مشهد-الذئاب_SONG_A.mp3,0.87436354,/content/SUNO_BACKUP_11082026/lamiyat_alshanfara_14082026/03-مشهد-الذئاب_SONG_A.mp3
6,01-الوداع-والخطوات-الوادعة_SONG_A.mp3,0.8743247,/content/SUNO_BACKUP_11082026/aasha_23072026/01-الوداع-والخطوات-الوادعة_SONG_A.mp3
7,القسم 2  مطاردة الثور الوحشي مقام حجاز_SONG_A.mp3,0.87322414,/content/SUNO_BACKUP_11082026/nabigha_17072026_A/القسم 2  مطاردة الثور الوحشي مقام حجاز_SONG_A.mp3
8,01-الأطلال-وظعائن-خولة_SONG_A.mp3,0.8723866,/content/SUNO_BACKUP_11082026/tarafa_23072026/01-الأطلال-وظعائن-خولة_SONG_A.mp3
9,07-عتاب-ابن-العم-مالك-وظلم-ذوي-القربى_SONG_B.mp3,0.87229925,/content/SUNO_BACKUP_11082026/tarafa_23072026/07-عتاب-ابن-العم-مالك-وظلم-ذوي-القربى_SONG_B.mp3
10,07-وصايا-الركبان-والوداع-الأخير.mp3,0.87047553,/content/SUNO_BACKUP_11082026/malik_ibn_rayb_17082026/07-وصايا-الركبان-والوداع-الأخير.mp3
11,04-عتاب-بني-مسمع-وتسيير-الثناء-ومكابدة-الفيافي_SONG_C.mp3,0.8698764,/content/SUNO_BACKUP_11082026/aasha_ariqtu_21082026/04-عتاب-بني-مسمع-وتسيير-الثناء-ومكابدة-الفيافي_SONG_C.mp3
12,01-نسيب-وظعن-الحي-ونخيل-يامن-وعرائس-النعمة_SONG_A.mp3,0.8696825,/content/SUNO_BACKUP_11082026/sama_laka_shwqun_19082026/01-نسيب-وظعن-الحي-ونخيل-يامن-وعرائس-النعمة_SONG_A.mp3
13,01-إعلان-الحرب-ومصير-البغي_SONG_B.mp3,0.8681603,/content/SUNO_BACKUP_11082026/short-poems_16082026/01-إعلان-الحرب-ومصير-البغي_SONG_B.mp3
14,01-الأطلال-واسترجاع-عهد-الحبيبات_SONG_B.mp3,0.86472225,/content/SUNO_BACKUP_11082026/im_qais_20082026/01-الأطلال-واسترجاع-عهد-الحبيبات_SONG_B.mp3
15,01-أطلال-الجواء-وحب-عبلة-المستحيل_SONG_C.mp3,0.86414605,/content/SUNO_BACKUP_11082026/antara_mullaq_21072026/01-أطلال-الجواء-وحب-عبلة-المستحيل_SONG_C.mp3
16,01-النسيب-وذكر-الديار-ونار-هند_SONG_B.mp3,0.861468,/content/SUNO_BACKUP_11082026/alharith_bin_heliza_22082026/01-النسيب-وذكر-الديار-ونار-هند_SONG_B.mp3
17,03-مشهد-الذئاب_SONG_A.mp3,0.85964125,/content/SUNO_BACKUP_11082026/Lamiyat_Alshanfara_16082026/03-مشهد-الذئاب_SONG_A.mp3
